,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
1.0,,,,,,,,,0.04,,,
2.0,,,,,,,,,,,,
3.0,,,,,,,,,,,,
4.0,,,,,,,,,,,,
5.0,,,,,,,,,,,,
6.0,,,,,,,,,,,,
7.0,,,,,,,,,0.04,,,
8.0,,,,,,,,,,,,
9.0,,,,,,,,,0.83,,,
10.0,,,,,,,,,,,,
11.0,,,,,,,1.56,19.64,,,,
12.0,,,,,,,86.09,,,14.0,,
13.0,,,,71.04,,,,,,,,
14.0,,,,,,,,,,,,
15.0,,,,,,,,,,,,
16.0,,,60.76,,,,,,,,,
17.0,,4.72,,17.33,,,,,,47.32,,
18.0,,,,32.46,,,,,,,2.78,
19.0,,,,,,,,,,,,
20.0,,,,,,,,,,,,
21.0,26.28,,,,,,,,,33.7,,6.07
22.0,18.85,,12.99,20.77,,,0.01,,0.01,3.82,,17.5
23.0,30.35,,,0.01,,,,0.02,,6.67,,30.98
24.0,5.98,,,0.08,,4.34,,,,,,2.76
25.0,12.43,29.465,,,5.234999999999999,,,,2.82,,6.88,
26.0,89.26,18.71,,9.09,,,,67.79,26.27,,0.0,
27.0,7.61,,,,10.73,130.17,78.75,56.12,16.87,,,
28.0,11.68,25.09,27.106666666666666,,,,,22.47,17.2,,,
29.0,,12.28,,8.55,0.03,1.91,,1.12,,14.870000000000001,,
30.0,27.235,20.305,83.48,3.2199999999999998,,25.48,22.76,82.39,0.19,45.73,104.03,4.79
31.0,,33.505,17.363333333333333,,32.846666666666664,4.22,0.02,191.2,3.085,,26.28,
32.0,90.84,,37.03,0.04,,131.98333333333332,14.3,27.74,8.020000000000001,7.023333333333333,,
33.0,34.91,41.49666666666666,26.123333333333335,20.515,,,0.0,0.62,,,,85.9
34.0,15.8025,14.705,90.41,0.155,77.04,40.055,45.07333333333333,50.7,,21.135,2.25,28.78
35.0,42.665,,6.12,44.555,,,0.23,16.07,0.78,,,
36.0,14.903333333333334,0.18,43.24,14.27,,5.06,38.54,28.37,22.51666666666667,35.09,45.995,54.65
37.0,43.315,45.945,30.315,5.154999999999999,58.06,,,,,42.235,0.69,
38.0,,,9.56,,,47.48666666666667,35.54333333333333,24.21,1.8,17.106666666666666,17.78,
39.0,0.0,23.22,27.11,21.02,48.559999999999995,,84.53,,0.04,29.97,,60.27
40.0,,20.07,1.4525000000000001,42.78,20.99,82.05,30.58,325.1,,56.28,54.45,104.9
41.0,84.155,0.02,13.682500000000001,13.443333333333333,39.18,,,30.13,13.545,2.23,,50.010000000000005
42.0,26.2525,45.54,65.095,11.53,33.38,0.04,0.02,,1.01,11.190000000000001,56.480000000000004,102.545
43.0,64.51,,,20.48,87.57666666666667,,3.59,,81.7,0.26333333333333336,,0.17
44.0,,,69.245,3.7933333333333334,43.14,1.24,64.68,39.16,77.64750000000001,0.005,,0.53
45.0,12.4,23.58,0.33,55.309999999999995,45.83,,0.06,7.495,18.135,0.49,124.60000000000001,1.4
46.0,0.0,166.17,2.4899999999999998,,52.86,32.55,,22.60666666666667,0.19,0.04,,0.99
47.0,22.33,8.11,,46.545,23.72,21.375,72.69,40.26,12.736666666666666,22.38,0.01,46.330000000000005
48.0,26.44,5.69,84.845,16.29,,81.48,32.395,24.48,2.0100000000000002,38.225,0.04,58.53
49.0,21.842857142857138,,1.92,44.55333333333332,,88.44333333333333,0.1,,0.41500000000000004,,0.01,21.295
