,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
1.0,,,,,,0.000607,,,0.010329,,,
2.0,,,,,,,,,,,,
3.0,,,,,,,,,,,,
4.0,,,,,,,,,,,,
5.0,,,,,,,,,,,,
6.0,,,,,,,,,,,,
7.0,,,,,,,,,0.010422,,,
8.0,,,,,,,,,,,,
9.0,,,,,,,,,0.461179,,,
10.0,,,,,,,,,,,,
11.0,,,,,,,0.851391,6.249915,,,,
12.0,,,,,,,24.531923,,,6.300147,,
13.0,,,,23.762435,,,,,,,,
14.0,,,,,,,,,,,,
15.0,,,,,,,,,,,,
16.0,,,9.244641,,,,,,,,,
17.0,,1.943569,,8.843875,,,,,,21.226953,,
18.0,,,,8.369184,,,,,,,0.992087,
19.0,,,,,,,,,,,,
20.0,,,,,,,,,0.3205,,,
21.0,8.8934375,,,,,,,,,13.707376,,3.201459
22.0,8.6,,3.591282,7.623662,,,0.008069,,0.011766,2.182216,,3.287451
23.0,13.688751,,,0.01304,,,,0.001877,,3.372565,,7.102085
24.0,2.879,,,0.078733,,1.719902,,,,,,1.369935
25.0,5.504441,13.5632675,,,2.175417,,,,1.587137,,3.7,
26.0,39.201657,6.050443,,4.05594,,,,11.351389,24.250283,,0.00047,
27.0,4.200586,,,,4.950859,44.680073,24.011616,25.685737,6.574326,,,
28.0,3.8341755,9.307626,9.795878,,,,,8.32653,8.118798,,,
29.0,,5.963324,,4.869278,,0.038965,,0.040847,,5.7372095,,
30.0,11.760273,10.8126225,17.104797,1.3829165,,8.724795,10.015,17.813722,0.112414,18.2859705,29.651193,2.534884
31.0,,15.21792275,7.337513,,12.717076666666665,1.42454,0.0036905,65.575105,1.702843,,8.317545,
32.0,34.04,,12.705146333333333,,,55.081481333333336,5.467084,10.542116,3.567349,3.1200893333333335,,
33.0,10.326356,17.298556666666666,11.670633666666665,7.4180925,,,0.002254,0.054458,,,,15.074549
34.0,7.42799375,7.9346785,33.803253,0.096788,28.112,15.8449005,13.811057333333334,19.153698,,8.137168,1.365,9.805
35.0,17.2295265,,3.024399,19.056445,,,0.119801,8.2536595,0.002603,,,
36.0,4.731456666666667,0.10009,10.604774,5.767278,,2.390164,14.608152,8.342311,10.208031,15.315435,8.3346705,10.278225
37.0,16.964,19.3509365,8.950794,2.208281,18.503871,,,,,18.6136275,0.338378,
38.0,,,4.003993,,,21.98683833333333,10.800919,8.5547208,0.159143,6.649591333333333,6.17668,
39.0,0.002859,10.340823,11.4368205,6.19261125,17.5360395,,21.577049,,0.012247,12.7631755,,11.002986
40.0,,7.954852,0.544965,15.437983,9.670235,35.316382,9.740471,133.682248,,23.514615,15.457418,19.928525
41.0,26.0938525,0.006886,6.031167,6.561163,15.37127,,,8.381509,0.012102,1.275166,,7.437729
42.0,13.4024385,18.46962,26.1345985,5.453607,11.356084666666666,0.021742,0.017472,,0.568596,6.019628,16.759161,28.1201015
43.0,18.22281,,,9.034148,30.917518666666666,,0.484401,,30.31651,0.099363,,
44.0,,,32.128326375,1.335053,17.069,0.400843,19.373439,14.0156615,25.4266835,0.0081615,,0.09625
45.0,3.284854,8.939263,0.048919,20.269262,19.542248,,0.0232625,3.297907,7.431189,0.079312,50.2476175,
46.0,0.000145,8.6,1.3631,,17.886075,11.193132,,7.921393666666667,0.004631,,,0.376207
47.0,8.5,4.356941,,11.283846,11.305936,6.090964,29.0,11.252711333333334,5.378464333333333,8.54988,0.002676,9.423365666666665
48.0,8.0101,2.204398,33.42044875,16.030218,,33.50787,8.8041285,4.730038,0.253071,12.05386275,0.039,4.5429085
49.0,10.023554,,0.964436,13.488974,,24.18324833333333,0.01257,,0.020881,,0.008691,8.1470605
50.0,0.111979,,25.1524225,5.943405,,0.808022,14.916259,1.8346346666666666,0.029552,0.007236,0.0219655,0.6106565
51.0,9.535406,18.520733,5.700949,5.22922375,,29.254971666666666,16.817897,0.0234,8.713425,10.536998333333335,,
52.0,,8.178887428571429,11.924309,0.03213933333333333,25.619521666666667,15.2660146,0.027,0.5465645,0.036,,14.403076,8.407312666666666
53.0,,,12.5244285,,52.595284,3.8944545,3.971629,0.106761,,0.82135975,12.7807865,
54.0,7.909043,6.084682,0.053945,7.347202333333333,,13.319371,22.1159335,2.9248146666666663,17.380657,4.6321215,0.03507,
55.0,0.006747,,52.107731,,7.513324,0.007601,30.87,11.123,9.3458504,13.113024,7.146034,9.9068745
56.0,13.701452,13.1474734,,49.433515,26.648293666666667,5.353715599999999,42.669175,9.106774,7.890958,0.00488,46.581142,17.5
57.0,17.2,0.004875,7.443007,1.1134396666666668,1.23968625,15.242781,16.701294,7.3543105,18.06252416666667,15.0206255,0.002665,0.784839
58.0,3.434396,0.00625,2.348589,0.4048673333333333,21.760405,1.102771,18.2447074,0.014149,4.7816415999999995,0.05223875,9.880536,15.898654
59.0,,,21.609681,8.2447235,,69.82641675,0.933778,0.035986,3.4526023333333336,,0.015758,40.201308
60.0,,17.68649166666667,,0.44638,32.972,0.01337,27.145365,0.0335675,4.765838,8.188647333333334,17.224398,
61.0,0.011858,,8.522409,,,30.307472,74.1261225,0.014501,17.275239,0.033781,,0.050621
62.0,8.0113056,41.6016065,21.01330666666667,0.8659505,35.5489012,0.089111,,35.006404,0.0207365,,1.1944555,2.610026
63.0,,,1.887989,2.633316,11.7675255,0.4943985,18.28642,,,0.081727,,2.4815975
64.0,,0.006047333333333333,20.905117,0.0599585,,0.058151,19.110596333333334,0.19830566666666666,3.6225275,3.9825561666666665,121.897634,0.047813666666666664
65.0,0.022849,67.558255,0.031005,0.042246,36.160621,13.511286666666667,,0.069085,2.8375055,14.0655,20.7109304,77.554033
66.0,14.957820666666667,17.005332,,0.015,105.594986,3.810867,6.2414025,6.884346,0.061214,5.403449,56.779302,
67.0,,0.143422,34.023968,43.319662,73.262305,2.349959,0.9758193333333334,0.0642425,0.0198485,5.698010333333333,14.931464666666667,0.492648
68.0,0.0201365,0.017274,43.720472,128.8550775,12.353188,1.23331,29.6678225,0.08400533333333333,14.299411,6.234861,,2.3079625
69.0,0.05015633333333334,,0.015158,7.435138666666667,0.038,23.952769333333332,0.026331,0.178427,42.513360666666664,0.877357,,31.051923
70.0,,0.17528,0.0225735,47.5719735,11.20327,0.005195333333333333,37.910194,0.031119,,0.792279,,
71.0,,0.011719,0.03298,0.165292,0.0851215,28.632397,31.20192,11.4395165,0.089921,0.065882,7.605379,0.069833
72.0,0.676909,5.8831125,5.8808315,0.0077295,,6.10001,0.048271,56.1,,3.0080415,21.32022825,2.7988395
73.0,0.022724,0.024597,,0.113803,0.017782,,117.027503,0.9842636666666666,0.4101915,,2.2129726666666665,0.272176
74.0,0.338339,0.31054133333333334,0.00451,0.152566,0.057822,,0.364039,2.868956,17.704496,0.022204,75.49041266666667,0.033384
75.0,,41.7197955,1.22443,0.0854615,45.631667166666666,29.085719,28.64906033333333,0.016869,1.5647056000000001,,0.053,0.09438
76.0,0.18496966666666664,0.12852,12.3622375,0.08591325,0.0432675,76.3513965,0.200435,31.472069,0.848213,3.6518456666666665,0.003163,0.6080013333333334
77.0,12.7345775,,22.12331025,25.9022815,,67.6447825,,3.05706425,0.111912,,1.589516,1.198356
78.0,,,75.063401,0.1813165,,3.003526,0.028,2.5849903333333333,0.165685,,,
79.0,0.15944,11.071584,0.063573,,0.087984,,72.611427,,,7.5290935999999995,0.159615,0.2387105
80.0,,,0.0083875,0.028029,,46.20678175,0.104587,0.125101,0.021701666666666668,54.308575,,
81.0,0.401092,,0.038729,0.018258,0.026021,,0.263162,0.006688,0.028997,12.03958,43.81133533333334,63.96143275
82.0,,0.060898,0.160747,25.9094155,0.050955,,56.262929,,,0.2834325,14.8780305,0.117276
83.0,0.3186055,38.9252545,0.160089,0.312355,,,0.092835,10.84533,,0.055761,0.012007,0.000696
84.0,,16.6962775,,0.132829,,,0.10403,6.3358645,,,,
85.0,,0.028472,,,0.097562,,0.074934,0.046671,,0.006132,0.02191,220.009584
86.0,1.335563,,0.00988,,0.030368,20.55332,0.421577,,,,0.030007,
87.0,0.013,,,,,6.8543425,,0.052334,,,0.187281,0.166564
88.0,11.001961,202.003951,0.37706433333333333,0.03309,,0.21914,,0.621329,,0.075971,0.424397,0.322168
89.0,0.633173,,,,0.031,,,0.1453085,,,,
90.0,0.0113,,,,,,,,,,0.0477325,
91.0,,,,,,,,,,,,
92.0,,,,0.042244,,,,,,,0.157553,0.078544
93.0,0.412932,,,,,,,,,,0.295009,0.448538
94.0,,,,,,90.440272,50.513488,0.065775,,0.109,,0.364437
95.0,0.25351,,,,,,,,,,,
96.0,,,,,,,,,,,,0.256498
97.0,,,,,,,,,,,,
98.0,,,,,,,,,,,,
99.0,,,,,,,,,,,0.402075,
100.0,,,,,,,,0.387618,,,,
